"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"FH1","100-020","104.95mm","91.5mm","104.95mm","91.5mm","107.25mm","91.5mm","T","180.00","01000020Z"
"FH2","100-020","89.05mm","91.5mm","89.05mm","91.5mm","86.75mm","91.5mm","T","360.00","01000020Z"
"J2","B2P3-VH","111mm","104mm","111mm","104mm","111mm","107.96mm","T","270.00","B2P3-VH"
"J3","B2P3-VH","6mm","104mm","6mm","104mm","6mm","107.96mm","T","270.00","B2P3-VH"
"J4","PX0580/PC/12132","84mm","118.475mm","84mm","123.3mm","93.14mm","118.475mm","T","360.00","PX0580/PC/12132"
"J5","PX0675/PC","33mm","113.55mm","33mm","121.1mm","26mm","113.55mm","T","360.00","PX0675/PC"
"T1","VB_3,2/1/9","58mm","79.75mm","58mm","79.75mm","68mm","89.75mm","T","270.00","VB 3,2/1/9"
"BZ1","PS1240P02CT3","104mm","72mm","104mm","72mm","106.5mm","72mm","T","180.00","PS1240P02CT3"
"C1","C0603","18.5mm","11.25mm","18.5mm","11.25mm","19.25mm","11.25mm","T","180.00","10nF"
"C2","C0603","18mm","19.25mm","18mm","19.25mm","18mm","18.5mm","T","90.00","0.1µF"
"C3","C0603","22.5mm","11.25mm","22.5mm","11.25mm","23.25mm","11.25mm","T","180.00","10nF"
"C4","C0603","31.75mm","14mm","31.75mm","14mm","31mm","14mm","T","0.00","0.1µF"
"C5","CPOL10X20","14.5mm","75.25mm","14.5mm","75.25mm","14.5mm","72.75mm","T","90.00","1000µF"
"C6","C0603","13.5mm","64.75mm","13.5mm","64.75mm","13.5mm","64mm","T","90.00","1µF"
"C7","C0805","19.5mm","64.75mm","19.5mm","64.75mm","19.5mm","65.7mm","T","270.00","2.2µF"
"C8","C0603","13.5mm","60.5mm","13.5mm","60.5mm","13.5mm","59.75mm","T","90.00","1µF"
"C9","C0805","19.5mm","60.5mm","19.5mm","60.5mm","19.5mm","61.45mm","T","270.00","2.2µF"
"C10","C0603","100.3mm","2mm","100.3mm","2mm","101.05mm","2mm","T","180.00","0.1µF"
"C11","C0603","100.3mm","17.25mm","100.3mm","17.25mm","101.05mm","17.25mm","T","180.00","0.1µF"
"C12","C0603","100.3mm","32.25mm","100.3mm","32.25mm","101.05mm","32.25mm","T","180.00","0.1µF"
"C13","C0603","100.3mm","47.25mm","100.3mm","47.25mm","101.05mm","47.25mm","T","180.00","0.1µF"
"C14","C0805","51.798mm","38.408mm","51.798mm","38.408mm","51.798mm","39.358mm","T","270.00","4.7µF"
"C15","C0603","68mm","25.75mm","68mm","25.75mm","68.75mm","25.75mm","T","180.00","0.1µF"
"C16","C0603","68mm","33mm","68mm","33mm","68.75mm","33mm","T","180.00","0.1µF"
