"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R11","R0603","32.7mm","35.4mm","32.7mm","35.4mm","33.45mm","35.4mm","T","180.00","100KO"
"L1","L_ASPI-0602S","24.8mm","29.6mm","24.8mm","29.6mm","24.8mm","31.925mm","T","360.00","39µH"
"FH1","100-020","104.95mm","61mm","104.95mm","61mm","107.25mm","61mm","T","180.00","01000020Z"
"FH2","100-020","89.05mm","61mm","89.05mm","61mm","86.75mm","61mm","T","360.00","01000020Z"
"J2","B2P3-VH","111mm","73.5mm","111mm","73.5mm","111mm","77.46mm","T","270.00","B2P3-VH"
"J3","B2P3-VH","5.25mm","73.5mm","5.25mm","73.5mm","5.25mm","69.54mm","T","90.00","B2P3-VH"
"J4","PX0580/PC/12132","84mm","87.975mm","84mm","92.8mm","93.14mm","87.975mm","T","360.00","PX0580/PC/12132"
"J5","PX0675/PC","33mm","83.05mm","33mm","90.6mm","26mm","83.05mm","T","360.00","PX0675/PC"
"T1","VB_3,2/1/9","58mm","49.25mm","58mm","49.25mm","68mm","61.75mm","T","270.00","VB 3,2/1/9"
"BZ1","PS1240P02CT3","96.152mm","40.772mm","96.152mm","40.772mm","98.652mm","40.772mm","T","180.00","PS1240P02CT3"
"C1","C0603","11.65mm","14.1mm","11.65mm","14.1mm","11.65mm","13.35mm","T","90.00","10nF"
"C2","C0603","19.65mm","14.6mm","19.65mm","14.6mm","18.9mm","14.6mm","T","360.00","0.1µF"
"C3","C0603","11.65mm","10.1mm","11.65mm","10.1mm","11.65mm","9.35mm","T","90.00","10nF"
"C4","C0603","37.15mm","10.8mm","37.15mm","10.8mm","36.4mm","10.8mm","T","0.00","0.1µF"
"C5","CPOL10X20","14.5mm","44.75mm","14.5mm","44.75mm","14.5mm","42.25mm","T","90.00","1000µF"
"C6","C0805","19.1mm","34.8mm","19.1mm","34.8mm","19.1mm","33.85mm","T","90.00","2.2µF"
"C7","C0603","6.3mm","34.5mm","6.3mm","34.5mm","6.3mm","35.25mm","T","270.00","68pF"
"C8","C0603","33.6219mm","22.768mm","33.6219mm","22.768mm","34.3719mm","22.768mm","T","180.00","1µF"
"C9","C0805","33.6219mm","28.768mm","33.6219mm","28.768mm","32.6719mm","28.768mm","T","360.00","2.2µF"
"C10","C1210","17.6mm","26.9mm","17.6mm","26.9mm","15.8mm","26.9mm","T","360.00","47µF"
"C11","C0603","12.7mm","31.5mm","12.7mm","31.5mm","13.45mm","31.5mm","T","180.00","0.1µF"
"C14","C0805","50mm","27.2mm","50mm","27.2mm","50mm","28.15mm","T","270.00","4.7µF"
"C15","C0603","67.945mm","17.272mm","67.945mm","17.272mm","68.695mm","17.272mm","T","180.00","0.1µF"
"C16","C0603","68mm","25.1mm","68mm","25.1mm","68.75mm","25.1mm","T","180.00","0.1µF"
"C17","C0603","54.5mm","28.7mm","54.5mm","28.7mm","54.5mm","29.45mm","T","270.00","0.1µF"
"C18","C0603","49.911mm","16.764mm","49.911mm","16.764mm","49.161mm","16.764mm","T","360.00","0.1µF"
"C19","C0603","54.75mm","10.35mm","54.75mm","10.35mm","54.75mm","9.6mm","T","90.00","1µF"
"C20","C0805","68.3mm","22.85mm","68.3mm","22.85mm","69.25mm","22.85mm","T","180.00","4.7µF"
"C21","C0603","60.75mm","10.35mm","60.75mm","10.35mm","60.75mm","9.6mm","T","90.00","0.1µF"
"C22","C0603","59mm","10.35mm","59mm","10.35mm","59mm","9.6mm","T","90.00","1µF"
"D1","SOD-323","26.4mm","12.6mm","26.4mm","12.6mm","26.4mm","13.7mm","T","270.00","3.3V"
"D2","SOD-323","44.15mm","9.05mm","44.15mm","9.05mm","44.15mm","7.95mm","T","90.00","3.3V"
"D3","MBS-1","32.75mm","45.25mm","32.75mm","45.25mm","29.8mm","46.52mm","T","90.00","MB6S-TP"
"D4","DO-214AC","24.5mm","46.5mm","24.5mm","46.5mm","26.532mm","46.5mm","T","180.00","M7-TP"
"FB1","FB0603","57.25mm","10.35mm","57.25mm","10.35mm","57.25mm","11.1mm","T","270.00","120O"
"J1","B2B-XH-A","3mm","12.1mm","3mm","12.1mm","3mm","13.35mm","T","270.00","B2B-XH-A"
"J6","MTP125-1114S1","105.664mm","29.718mm","105.664mm","29.718mm","105.664mm","46.228mm","T","270.00","MTP125-1114S1"
"J8","B2B-XH-A","3mm","46mm","3mm","46mm","3mm","47.25mm","T","270.00","B2B-XH-A"
"Q1","SOT-23","32.85mm","39.1mm","32.85mm","39.1mm","31.9mm","37.9mm","T","360.00","MMBT3904"
"Q2","SOT-23","85.402mm","40.022mm","85.402mm","40.022mm","84.452mm","38.822mm","T","360.00","MMBT3904"
"Q3","SOT-23","3mm","38mm","3mm","38mm","2.05mm","36.8mm","T","0.00","MMBT3904"
"R1","R0603","13.65mm","14.1mm","13.65mm","14.1mm","13.65mm","14.85mm","T","270.00","100KO"
"R2","R0603","9.15mm","13.35mm","9.15mm","13.35mm","8.4mm","13.35mm","T","360.00","1KO"
"R3","R0603","9.15mm","10.85mm","9.15mm","10.85mm","8.4mm","10.85mm","T","360.00","1KO"
"R4","R0603","24.4mm","12.1mm","24.4mm","12.1mm","24.4mm","12.85mm","T","270.00","100O"
"R5","R0603","13.65mm","10.1mm","13.65mm","10.1mm","13.65mm","9.35mm","T","90.00","100KO"
"R6","R0603","22.65mm","12.1mm","22.65mm","12.1mm","22.65mm","11.35mm","T","90.00","10KO"
"R7","R0603","23.4mm","9.6mm","23.4mm","9.6mm","24.15mm","9.6mm","T","180.00","4.7KO"
"R8","R0603","40.4mm","6.55mm","40.4mm","6.55mm","40.4mm","7.3mm","T","270.00","2.2KO"
"R9","R0603","40.4mm","9.55mm","40.4mm","9.55mm","40.4mm","8.8mm","T","90.00","1.5KO"
"R10","R0603","42.15mm","6.55mm","42.15mm","6.55mm","42.15mm","5.8mm","T","90.00","2.2KO"
"RT1","RT0603","30.226mm","5.334mm","30.226mm","5.334mm","30.226mm","4.584mm","T","90.00","10KO"
"R12","R0603","42.15mm","9.55mm","42.15mm","9.55mm","42.15mm","10.3mm","T","270.00","100O"
"R13","R0603","32.9mm","8.05mm","32.9mm","8.05mm","32.9mm","8.8mm","T","270.00","8.45KO"
"R14","R0603","35.6mm","39.1mm","35.6mm","39.1mm","35.6mm","39.85mm","T","270.00","10KO"
"R15","R0603","29.2mm","40.1mm","29.2mm","40.1mm","28.45mm","40.1mm","T","360.00","4.7KO"
"R16","R0603","88.211mm","40.022mm","88.211mm","40.022mm","88.211mm","39.272mm","T","90.00","1KO"
"R17","R0603","82.652mm","40.022mm","82.652mm","40.022mm","82.652mm","39.272mm","T","90.00","1KO"
"R18","R0603","8.1mm","34.5mm","8.1mm","34.5mm","8.1mm","35.25mm","T","270.00","100KO"
"R19","R0603","9.8mm","34.5mm","9.8mm","34.5mm","9.8mm","33.75mm","T","90.00","13.7KO"
"R26","R0603","2mm","34.25mm","2mm","34.25mm","2mm","35mm","T","270.00","1KO"
"RV1","MOV-07D471K","58mm","70.5mm","58mm","70.5mm","55.4877mm","71.6185mm","T","360.00","MOV-07D471K"
"U2","SOT-23-5","36.65mm","8.3mm","36.65mm","8.3mm","35.35mm","9.25mm","T","0.00","TLV9001"
"U3","SOT-23-6","14.4mm","34.6mm","14.4mm","34.6mm","15.7mm","33.65mm","T","180.00","TPS54202DDCR"
"U4","SOT-23","33.6219mm","25.768mm","33.6219mm","25.768mm","34.8219mm","24.818mm","T","90.00","AP2210N-3.3"
"U5","LQFP-64_10X10","58.5mm","20.6mm","58.5mm","20.6mm","54.75mm","14.85mm","T","90.00","STM32F446RET6"
"U1","VSSOP-8","18.15mm","12.1mm","18.15mm","12.1mm","15.95mm","13.075mm","T","360.00","LMP7716"
"J7","TF_PUSH","90.9mm","10.2mm","90.9mm","10.2mm","93.15mm","15.7mm","T","0.00","TF PUSH"
"R20","R0603","92.9mm","19.2mm","92.9mm","19.2mm","92.9mm","18.45mm","T","90.00","1KO"
"R21","R0603","90.8mm","19.2mm","90.8mm","19.2mm","90.8mm","18.45mm","T","90.00","1KO"
"R22","R0603","88.7mm","19.2mm","88.7mm","19.2mm","88.7mm","18.45mm","T","90.00","1KO"

